Statistic,tau_hat
mean,-0.03177237616714827
median,-0.02519401210412659
std,0.0266383387700842
p5,-0.08733938712691451
p25,-0.044831764282883005
p75,-0.00834536352825075
p95,-0.0012456603271745496
share negative,1.0
share positive,0.0
