Model,Low rail optimum %,High rail optimum %,Interior optimum %,Mean optimal discount,Median optimal discount,Mean revenue multiplier at optimum,Share crossing break-even
LightGBM baseline,0.7578019226713293,0.04377376975568603,0.19842430757298468,0.26675942115754886,0.2,2058302.6570657261,0.24219807732867066
Causal Forest,0.3692263731179796,0.08326132954151161,0.5475122973405087,0.39774225590714574,0.39999999999999997,136418518.98853147,0.6307736268820203
