Model,Split,WMAPE,R2,N
LightGBM baseline,Train OOF,0.31210869080971976,0.7972058588136806,33691
LightGBM baseline,Test,0.42497011986067657,0.7057451842647531,12136
Causal Forest,Train OOF,0.30460085436357964,0.8150734943394551,33691
Causal Forest,Test (observed y),0.41560888379955463,0.7317824283693573,12136
