Split,rows,unique seasons,unique references,sale weeks,mean weekly units,median weekly units,discount min,discount max,actual price min,actual price max,missing outcome rows
Train,33691,3,5790,6,178.40257041939984,53.0,0.1,0.7,2.9563,248.9917,0
Test,146983,1,2079,6,157.95344429795648,48.0,0.0,0.9,3.99,349.99,134847
