treatment,space,y_r2_oof,t_r2_oof,std_y_res,std_t_res,folds
actual_price,log-linear,0.8926391565254431,0.8994434490641987,0.46189399154500815,5.136574272207335,3
actual_price,log-log,0.8926391565254431,0.8718007612309505,0.46189399154500815,0.1749217636736106,3
discount,log-linear,0.8926391565254431,0.2837464342109586,0.46189399154500815,0.10104321848346222,3
discount,log-log,0.8926391565254431,0.2794115482590963,0.46189399154500815,0.0724307282353251,3
